Distance;Elapsed Time;Elevation High;Elevation Gain;Weekday;Bike Type
6,1;1733;38,3;13,47;Sunday;
65,62;15478;1564,6;949,0;Monday;
40,27;22875;2279,9;494,11;Saturday;mtb
3,23;1233;539,0;21,0;Wednesday;race bike
35,4;6199;371,0;157,0;Wednesday;trecking bike
65,38;10591;530,2;937,0;Saturday;race bike
52,38;7940;615,8;721,0;Saturday;race bike
25,5;3457;334,6;160,0;Friday;race bike
35,07;5447;315,4;116,0;Thursday;trecking bike
44,24;6952;525,8;585,0;Saturday;race bike
36,13;5577;399,4;138,0;Wednesday;trecking bike
36,51;10574;783,0;223,0;Thursday;mtb
4,09;1851;316,0;48,2;Monday;trecking bike
42,39;6424;463,4;616,0;Saturday;race bike
57,92;8347;515,0;554,0;Saturday;race bike
35,44;5873;308,0;153,0;Monday;trecking bike
14,09;4697;322,0;119,0;Sunday;trecking bike
35,11;5862;322,6;144,0;Monday;trecking bike
30,71;4454;489,8;555,0;Saturday;race bike
31,11;4880;387,0;272,0;Friday;race bike
35,27;4885;310,1;112,37;Monday;
34,82;5374;309,5;72,63;Wednesday;
28,3;4183;432,6;529,0;Sunday;race bike
12,39;2903;359,0;227,0;Sunday;mtb
106,12;18616;501,0;1260,0;Wednesday;race bike
33,41;5842;20,8;56,31;Wednesday;
35,64;5499;381,8;140,0;Tuesday;race bike
34,71;5742;292,6;157,0;Friday;trecking bike
36,39;5209;454,8;440,0;Tuesday;race bike
35,78;5925;411,0;150,0;Wednesday;trecking bike
30,32;4594;501,0;477,0;Friday;race bike
2,04;815;315,3;11,64;Tuesday;
49,05;7462;589,8;615,0;Wednesday;race bike
33,25;6077;388,6;210,0;Saturday;race bike
41,89;6361;509,6;605,0;Saturday;race bike
33,34;5152;449,4;516,0;Sunday;race bike
40,4;7706;352,0;543,0;Monday;race bike
18,04;4450;466,2;386,0;Wednesday;mtb
19,6;2886;503,2;244,0;Saturday;
114,48;21942;546,6;1008,0;Monday;race bike
34,62;5297;314,6;134,0;Thursday;trecking bike
36,7;5840;343,4;140,0;Monday;trecking bike
44,09;7000;497,4;379,0;Friday;race bike
42,67;6846;505,4;316,0;Saturday;race bike
35,44;5854;447,4;147,0;Tuesday;
56,1;12138;113,2;277,0;Wednesday;race bike
36,57;5185;476,2;294,0;Monday;
35,13;5365;310,4;112,49;Wednesday;
